user_id,isbn,rating
8,0771074670,1
8,0002005018,5
17,0684823802,1
17,0425099148,7
17,0553264990,5
17,0891075275,6
17,0891076182,3
99,0312261594,8
99,0446677450,10
99,067976397X,1
99,0312252617,8
99,0451166892,3
114,0671027360,10
114,0812575954,5
114,0446608653,9
114,0312953453,7
242,3257208626,8
242,3150000335,10
242,0553278223,10
242,3596292646,7
243,0425092917,1
243,0440224764,1
243,0517122707,1
243,0316601950,9
243,0140272100,6
243,0553580388,8
243,0060915544,10
243,0425163407,9
243,0385720106,7
243,0060977493,7
243,0446606383,6
243,0786863986,5
243,0316899984,7
243,0385316895,6
243,155874262X,5
243,0316776963,9
243,0446364800,9
243,0375400117,10
244,1558744150,6
244,0375704965,8
244,0804111359,8
244,155874262X,6
244,0060977493,7
244,0060987103,8
254,0060809027,1
254,0486415864,1
254,0060199563,1
254,0061020702,1
254,0451408845,1
254,0618002243,1
254,0140367470,1
254,0446527785,1
254,0316776963,1
254,0684833395,1
254,0448060043,1
254,037370951X,1
254,0373242077,1
254,0345387651,1
254,0440967694,1
254,0671786113,1
254,0373834446,8
254,0373834489,9
254,0451167317,8
254,0373226144,5
254,0373226063,6
254,0618002219,9
254,0618002227,8
254,0671021001,7
254,0439139597,9
254,0451524934,9
254,0439136369,9
254,0439136350,9
254,0590353403,9
254,0553280325,8
254,1563895730,9
254,0380730448,8
254,0380810492,7
254,0380973634,10
254,0380973650,9
254,0679879242,8
254,0439064872,9
254,0439064864,9
254,0399146431,9
254,0380977281,8
254,0312863934,9
254,0064471047,7
254,0451406176,6
254,0060976977,7
254,0451409256,7
254,0066238501,5
254,0060934700,9
272,0345391691,1
272,0553278746,1
272,0670856045,7
272,0060977477,7
300,0812541642,5
300,0449912302,9
300,0312963009,5
300,0380728729,5
300,0345435869,1
383,0385418493,1
383,0767905938,1
383,0380815923,10
383,0385416342,10
387,0812504208,9
387,0198320264,2
387,0451527747,10
387,0671867113,1
388,0440234743,1
388,0679427430,1
388,0060973897,8
388,0553569058,10
388,1878424319,7
388,1573225126,5
388,0449213773,10
388,0452279690,10
388,0449002632,7
388,0060976845,3
408,0345335465,1
408,0590947257,8
408,0312283784,8
408,0553582682,9
424,0767903579,1
424,0345424719,1
424,0671021001,6
424,0425156842,7
424,0452277337,7
446,0060917016,1
446,0060932759,8
446,0061000280,10
446,0060925000,8
446,039914739X,3
446,0486281965,10
476,0671673688,1
476,0515118656,8
486,0451202341,8
486,0060976845,8
487,0440225078,1
487,0385490992,7
487,0671888587,6
487,0385335407,8
487,0486272664,9
503,0312976275,1
503,0060987103,1
503,0691017840,1
503,0385483724,8
503,0515131679,8
503,068484267X,10
503,0439099404,10
503,0345348656,8
503,0140179836,10
503,0385496095,10
503,1558743669,10
505,0805056491,9
505,042517736X,7
505,0345353625,1
505,1562827049,8
505,0345369947,1
505,0671868713,8
505,038549825X,8
505,0679401377,8
505,067170124X,1
505,0345313860,7
505,0385306032,8
507,0439080967,1
507,0394825985,1
507,0449000265,1
507,067151699X,1
507,0449211770,1
507,0380709260,1
507,0684196387,1
507,0425168948,7
507,0425115844,7
507,0345369068,8
507,0689710887,10
507,0689710879,10
507,0553571842,7
507,0553575538,7
507,0553576801,7
507,055357695X,7
507,0679893105,9
507,0553580523,7
507,0553583441,7
507,0689710895,10
507,0689711522,10
507,0553297341,7
507,0451184718,9
507,0140230165,7
507,0020427859,9
507,0553564528,7
566,0399144463,2
566,0312206763,6
567,0684717255,9
567,0425174484,8
567,0486272745,10
567,0140185216,10
595,0140293248,9
595,0684801221,1
595,1576737357,7
595,0446672211,10
595,0446610399,9
619,0449911683,1
619,015600710X,8
625,225300670X,1
625,2266084372,8
625,2253007102,10
625,2253004022,9
626,0140620427,1
626,3492207006,10
638,0446523569,10
638,039304016X,1
638,0679732241,9
638,0609605925,8
638,0151001006,10
638,0394574745,8
638,1558747028,10
638,0140107649,10
638,0679419624,10
638,0399147012,1
638,039914739X,1
638,0399147128,1
638,0316779490,9
638,0688180639,9
638,1558747346,8
638,0743230051,9
638,080411868X,1
638,0609606727,8
638,0060192631,1
638,0446520802,1
638,0743406176,10
638,0380978539,8
638,0385420161,9
638,0679442790,10
638,0670892963,7
638,0684864320,1
638,0679450440,1
638,0679746048,7
638,0345428900,8
638,0060191929,9
638,0446525537,9
638,0316779423,10
638,0316969443,10
638,0671042556,9
638,0374172897,1
638,0451197275,1
638,1570717257,9
638,0684864843,1
638,067972768X,10
638,0316776963,10
638,0684874318,10
638,0385470819,9
638,0679410430,10
638,0446525502,9
638,0684868911,1
638,0316789089,10
638,0684867818,1
638,0385505833,10
638,0553109839,1
638,0316769487,10
638,0345339711,10
638,0679603352,10
643,2253001457,8
643,1853260002,2
643,2253140872,8
643,2253043974,8
643,0767908473,1
643,0671894455,7
643,0349101779,1
643,0140622063,8
643,0140366660,9
643,0140253580,1
643,0061092606,8
643,0743222229,8
643,0752804510,8
651,0553574175,6
651,0786886463,7
651,0553574167,6
651,0553579673,7
651,0679801146,4
651,0553574159,6
651,0060934719,8
651,0451456548,7
651,0316776963,1
651,0553579681,1
651,0451181379,1
651,1563411148,6
651,1563410443,1
651,156341029X,8
651,0345370740,7
651,0345395379,1
651,0380788497,7
651,0345403339,7
651,0446300101,8
651,0786889160,7
651,0425142485,6
709,0590897985,9
709,0064405052,9
709,0345391802,7
709,0440219078,10
709,0152162577,10
709,0440415993,10
712,0345356578,1
712,3404118960,5
712,349913358X,6
735,0440130913,1
735,0380759497,1
735,0671779338,10
735,1551660016,10
735,0440224829,9
735,038533334X,4
735,0451185277,8
735,0449001954,8
735,0440222818,7
741,0425147517,1
741,0425124347,1
741,0590514776,6
741,0140065172,10
741,0451526503,10
741,0198320264,10
741,0451524489,10
746,0449134482,1
746,014036336X,8
746,0812516826,5
746,0394820371,8
753,0871137380,10
776,0375704027,8
776,0679743464,1
776,0140274154,9
776,0876850867,8
805,0312420145,1
805,0684801469,1
805,055326382X,1
805,0671789422,1
805,0140077022,10
805,0060928336,7
805,0316777730,7
805,0877733759,10
805,0140253602,4
805,0375501851,8
805,0671003755,8
805,0679732764,10
805,0684844729,8
805,0140070206,9
805,0060256672,10
805,0440215625,8
805,014016930X,10
805,0452282152,8
819,0345422392,1
819,0446364193,7
819,0671726889,5
819,0345384466,5
834,0671027344,7
834,0449005569,3
834,1558747346,5
834,0786884622,3
834,0451523369,1
834,0141001771,5
843,0375420673,1
843,006019491X,8
843,0684819066,8
843,0066211611,8
850,3442248922,1
850,3596133319,6
850,3423009152,3
850,0671578103,6
850,3423620005,9
853,034537522X,1
853,0140042520,8
853,0345358791,5
853,0345375211,9
882,0385492081,1
882,0515130389,1
882,0375507507,1
882,0553569074,1
882,0385315279,1
882,0449212602,1
882,0312274920,1
882,0385491085,1
882,0684874350,1
882,0671708635,1
882,0345334930,8
882,0380018179,10
882,0373484224,7
882,0553572997,10
882,0020418809,10
882,0553280589,10
882,0064401847,10
882,0140440399,9
882,0679429220,9
882,0452265347,10
882,0517556278,8
882,0553272586,5
882,0064402967,5
882,0553250426,10
882,0425179672,10
899,3453177622,1
900,0449212084,5
900,0553576976,5
900,0060928336,9
900,0441001335,5
900,0553572490,6
901,0679745653,1
901,0140431268,8
901,0785268480,10
901,0099771519,9
901,1853261750,9
929,1573225789,1
929,0440211727,1
929,0316929190,1
929,0385314744,7
929,0312140940,8
929,0451169530,6
929,0553296981,10
929,0345307674,5
929,0894803700,8
929,0679741011,5
929,0440224624,6
929,0345285549,5
929,0345331605,7
1025,0590112899,1
1025,0330306839,8
1025,0380012863,8
1025,0552996009,9
1025,0394404289,9
1025,0552998001,9
1025,0060928336,5
1025,068484267X,9
1063,0895773538,9
1063,0345387007,5
1063,0385247745,1
1063,0671880187,5
1075,0892967048,8
1075,0553377868,9
1075,0767902521,9
1113,0380723638,1
1113,0385324057,9
1116,006109594X,7
1116,0425178773,1
1116,0553575619,5
1116,0061030651,8
1129,0385472951,6
1129,0064407667,4
1129,0385493800,6
1129,0671318314,7
1129,0553377876,3
1129,014025448X,7
1131,0156006529,1
1131,0553568183,1
1131,0451202341,1
1131,0140256369,1
1131,0385490445,1
1131,0671004565,6
1131,0449149676,7
1131,0679772677,7
1131,0345370805,7
1131,0446673544,5
1131,0375703055,7
1131,0394758285,7
1131,0451187903,7
1131,0385480016,9
1131,0440214424,8
1131,0060976845,7
1131,0061098361,7
1131,0070212570,7
1131,0671793489,7
1131,0312243022,8
1131,0679761837,7
1131,0061093092,8
1131,0446672211,7
1131,0446605891,6
1155,0671689231,7
1155,0671000381,7
1155,006101253X,7
1155,0671032658,9
1155,0671701053,5
1155,0451409256,9
1155,0451402103,8
1155,0380814021,6
1155,0440217806,7
1155,0380817683,10
1161,0375725784,5
1167,0375704558,1
1167,0345339703,1
1167,0060987103,1
1167,0060929596,10
1167,0802135196,9
1167,0679450548,7
